Date,Open,High,Low,Close,Adj Close,Volume
2017-11-10,111.440002,112.980003,111.309998,112.750000,99.368324,3699500
2017-11-13,112.690002,114.190002,112.639999,114.040001,100.505226,3194500
2017-11-14,113.690002,116.190002,113.589996,115.760002,102.021095,4998900
2017-11-15,115.650002,115.930000,114.309998,115.099998,101.439423,3861500
2017-11-16,115.389999,115.839996,114.940002,115.230003,101.553993,3058100
2017-11-17,114.730003,115.139999,114.529999,114.680000,101.069275,2646400
2017-11-20,114.750000,115.849998,114.709999,114.910004,101.271980,3594300
2017-11-21,114.989998,116.330002,114.970001,116.050003,102.276657,3179300
2017-11-22,115.769997,116.000000,114.279999,115.080002,101.421799,3598500
2017-11-24,115.650002,116.300003,115.430000,115.900002,102.144463,1183000
2017-11-27,116.000000,116.400002,115.660004,115.849998,102.100395,2818900
2017-11-28,116.260002,116.830002,115.300003,116.769997,102.911217,3600400
2017-11-29,116.839996,117.379997,116.290001,116.839996,102.972908,3276300
2017-11-30,116.519997,117.209999,116.080002,116.519997,103.403313,5984000
2017-12-01,116.500000,116.849998,115.040001,116.779999,103.634048,4956600
2017-12-04,117.000000,118.199997,116.620003,117.459999,104.237495,4403000
2017-12-05,117.629997,117.940002,117.180000,117.589996,104.352875,3198600
2017-12-06,117.830002,118.910004,117.639999,118.900002,105.515396,3203500
2017-12-07,118.519997,118.639999,116.550003,116.730003,103.589684,5409500
2017-12-08,116.519997,116.599998,115.900002,116.570000,103.447693,3127500
2017-12-11,116.330002,117.440002,115.559998,117.389999,104.175377,2429400
2017-12-12,118.220001,118.370003,117.120003,117.400002,104.184242,2664600
2017-12-13,117.510002,118.209999,117.480003,117.800003,104.539223,3193900
2017-12-14,117.940002,118.599998,117.730003,118.019997,104.734444,4057800
2017-12-15,118.570000,119.360001,118.449997,119.220001,105.799370,7173500
2017-12-18,119.300003,119.739998,118.000000,118.050003,104.761093,3472700
2017-12-19,118.750000,119.389999,118.230003,118.610001,105.258049,3942500
2017-12-20,118.660004,119.120003,117.559998,119.019997,105.621880,4273400
2017-12-21,119.449997,119.570000,117.839996,118.260002,104.947433,2790000
2017-12-22,118.599998,118.750000,118.169998,118.599998,105.249176,2045600
2017-12-26,118.410004,119.239998,118.410004,118.889999,105.506531,2156300
2017-12-27,118.870003,119.400002,118.800003,119.300003,105.870369,2465100
2017-12-28,119.330002,119.529999,119.050003,119.349998,105.914734,1999300
2017-12-29,119.459999,120.570000,119.419998,119.919998,106.420578,3116400
2018-01-02,119.930000,120.180000,117.930000,118.059998,104.769951,4165800
2018-01-03,117.910004,118.470001,117.639999,117.750000,104.494865,4224000
2018-01-04,117.800003,119.110001,117.599998,118.330002,105.009583,3147000
2018-01-05,118.410004,119.089996,118.250000,118.669998,105.311295,2714200
2018-01-08,118.209999,118.739998,117.669998,117.989998,104.707848,5730400
2018-01-09,118.260002,118.980003,117.949997,118.080002,104.787704,4573600
2018-01-10,118.129997,118.360001,116.699997,117.480003,104.255264,3363900
2018-01-11,117.639999,117.849998,116.379997,116.879997,103.722778,3685200
2018-01-12,116.949997,118.010002,116.849998,117.379997,104.166489,4335500
2018-01-16,117.199997,118.349998,117.029999,117.860001,104.592453,4936500
2018-01-17,118.290001,120.169998,118.209999,119.180000,105.763893,4554600
2018-01-18,119.089996,119.620003,118.650002,119.050003,105.648506,6221800
2018-01-19,119.480003,120.680000,118.639999,120.169998,106.642426,6002600
2018-01-22,120.099998,121.849998,120.000000,121.510002,107.831596,4308600
2018-01-23,121.070000,122.510002,120.849998,121.300003,107.645226,3536900
2018-01-24,121.239998,121.480003,120.820000,121.139999,107.503227,3445200
2018-01-25,120.610001,121.449997,120.360001,120.900002,107.290245,2712900
2018-01-26,120.610001,121.839996,120.610001,121.760002,108.053444,3993900
2018-01-29,121.379997,122.160004,119.650002,119.669998,106.198730,3854700
2018-01-30,119.680000,121.199997,119.500000,119.889999,106.393944,4945200
2018-01-31,119.839996,120.750000,119.510002,120.300003,106.757797,4018100
2018-02-01,119.919998,121.010002,119.279999,120.300003,106.757797,3485600
2018-02-02,119.910004,120.279999,118.400002,118.669998,105.311295,3348900
2018-02-05,118.570000,119.660004,114.410004,114.459999,101.575218,5347600
2018-02-06,112.440002,113.949997,110.150002,113.559998,100.776520,6642600
2018-02-07,113.970001,115.769997,112.750000,113.500000,100.723289,4931400
2018-02-08,113.699997,113.720001,110.089996,110.150002,97.750381,4907900
2018-02-09,110.809998,111.989998,108.879997,111.180000,98.664444,5301700
2018-02-12,111.900002,112.750000,111.059998,111.930000,99.330009,4759200
2018-02-13,112.000000,112.669998,110.680000,112.139999,99.516357,5274700
2018-02-14,111.669998,111.900002,108.760002,109.110001,96.827469,7702700
2018-02-15,109.529999,111.040001,108.720001,110.970001,98.478081,5125200
2018-02-16,111.059998,111.699997,109.760002,111.059998,98.557953,5578500
2018-02-20,110.959999,110.980003,109.339996,109.480003,97.155807,3835500
2018-02-21,109.349998,109.839996,107.940002,108.000000,95.842407,4501900
2018-02-22,108.330002,109.970001,108.019997,109.260002,96.960579,5394700
2018-02-23,109.360001,110.050003,108.570000,109.680000,97.333298,4760400
2018-02-26,110.120003,111.169998,110.029999,110.940002,98.451447,5355400
